INFO 2025-04-04 12:52:09,734 Watching for file changes with StatReloader
INFO 2025-04-04 13:19:29,741 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:19:29,748 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:19:29,752 "GET /static/css/dist/styles.css?v=1743772769 HTTP/1.1" 200 61584
INFO 2025-04-04 13:19:29,755 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:19:29,759 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:19:29,755 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:19:29,755 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:19:29,779 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
WARNING 2025-04-04 13:19:29,785 "GET /static/popper.js.map HTTP/1.1" 404 1853
WARNING 2025-04-04 13:19:29,788 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
INFO 2025-04-04 13:19:29,859 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:19:29,867 "GET /static/core/fonts/Inter_18pt-Bold.ttf HTTP/1.1" 200 344152
INFO 2025-04-04 13:19:29,872 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:19:29,874 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
WARNING 2025-04-04 13:19:29,901 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:19:35,048 "GET /simba/trips/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 302 0
INFO 2025-04-04 13:19:35,135 "GET /simba/vehicles/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 200 51410
INFO 2025-04-04 13:19:35,194 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:19:35,196 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:19:35,199 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:19:35,200 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:19:35,205 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:19:35,212 "GET /static/css/dist/styles.css?v=1743772775 HTTP/1.1" 200 61584
INFO 2025-04-04 13:19:35,215 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:19:35,216 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:19:35,217 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:19:35,219 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:19:35,233 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
WARNING 2025-04-04 13:19:35,244 "GET /static/popper.js.map HTTP/1.1" 404 1853
WARNING 2025-04-04 13:19:35,244 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:19:35,328 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:19:35,330 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
INFO 2025-04-04 13:19:35,344 "GET /static/core/fonts/Inter_18pt-Bold.ttf HTTP/1.1" 200 344152
INFO 2025-04-04 13:19:35,346 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:19:35,351 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:19:37,156 "GET /simba/trips/ HTTP/1.1" 200 33553
INFO 2025-04-04 13:19:37,213 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:19:37,222 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:19:37,226 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
